Description,Language,dependecies_found
User-Friendly R Package for Supervised Machine Learning Pipelines,R,"[""MLmetrics"", ""assertthat"", ""caret"", ""doFuture"", ""dplyr"", ""e1071"", ""forcats"", ""foreach"", ""furrr"", ""future"", ""future.apply"", ""ggplot2"", ""glmnet"", ""kernlab"", ""knitr"", ""progress"", ""progressr"", ""purrr"", ""randomForest"", ""rlang"", ""rmarkdown"", ""roxygen2"", ""rpart"", ""rsample"", ""stats"", ""styler"", ""testthat"", ""tidyr"", ""tidyselect"", ""usethis"", ""utils"", ""xgboost""]"
Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,C++,"[""Boost"", ""CHOLMOD"", ""CSparse"", ""Ceres"", ""Eigen3"", ""G2O"", ""LAPACK"", ""OpenMP"", ""PkgConfig"", ""Qt5"", ""ament_cmake"", ""ament_cmake_gtest"", ""ament_lint_auto"", ""bond"", ""bondcpp"", ""builtin_interfaces"", ""interactive_markers"", ""kartoSlamToolbox"", ""karto_sdk"", ""lifecycle_msgs"", ""localization_slam_toolbox"", ""message_filters"", ""nav_msgs"", ""pluginlib"", ""rclcpp"", ""rclcpp_components"", ""rclcpp_lifecycle"", ""rosidl_default_generators"", ""rviz_common"", ""rviz_default_plugins"", ""rviz_ogre_vendor"", ""rviz_rendering"", ""sensor_msgs"", ""std_msgs"", ""std_srvs"", ""tf2"", ""tf2_geometry_msgs"", ""tf2_ros"", ""tf2_sensor_msgs"", ""toolbox_common"", ""visualization_msgs""]"
Probabilistic Graphical Models from Scratch with support for LWF Chain Graphs,Python,[]
"ParaMonte: Parallel Monte Carlo and Machine Learning Library for Python, MATLAB, Fortran, C++, C.",Fortran,[]
FIRst Extragalactic Simulation Of Neutrino and Gamma-ray,Jupyter Notebook,[]
|toqito> (Theory of Quantum Information Toolkit) is a Python library for research in quantum information theory.,Python,"[""accessible-pygments"", ""alabaster"", ""appnope"", ""astroid"", ""asttokens"", ""attrs"", ""babel"", ""beautifulsoup4"", ""bleach"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""clarabel"", ""colorama"", ""comm"", ""contourpy"", ""coverage"", ""cvxopt"", ""cvxpy"", ""cycler"", ""debugpy"", ""decorator"", ""defusedxml"", ""distlib"", ""docutils"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""filelock"", ""flake8"", ""flake8-docstrings"", ""fonttools"", ""furo"", ""identify"", ""idna"", ""imagesize"", ""iniconfig"", ""ipykernel"", ""ipython"", ""ipywidgets"", ""isort"", ""jedi"", ""jinja2"", ""joblib"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-client"", ""jupyter-core"", ""jupyter-sphinx"", ""jupyterlab-pygments"", ""jupyterlab-widgets"", ""kiwisolver"", ""latexcodec"", ""llvmlite"", ""markdown-it-py"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mccabe"", ""mdit-py-plugins"", ""mdurl"", ""mistune"", ""more-itertools"", ""mpmath"", ""mypy"", ""mypy-extensions"", ""myst-parser"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nest-asyncio"", ""networkx"", ""nodeenv"", ""numba"", ""numpy"", ""osqp"", ""packaging"", ""pandocfilters"", ""parso"", ""pathspec"", ""pep8"", ""pexpect"", ""picos"", ""pillow"", ""platformdirs"", ""pluggy"", ""pre-commit"", ""prompt-toolkit"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pybtex"", ""pybtex-docutils"", ""pycodestyle"", ""pycparser"", ""pydocstyle"", ""pyflakes"", ""pygments"", ""pyparsing"", ""pytest"", ""pytest-cov"", ""python-dateutil"", ""pywin32"", ""pyyaml"", ""pyzmq"", ""readthedocs-sphinx-ext"", ""referencing"", ""requests"", ""rpds-py"", ""ruff"", ""scipy"", ""scs"", ""setuptools"", ""six"", ""snowballstemmer"", ""soupsieve"", ""sphinx"", ""sphinx-autoapi"", ""sphinx-basic-ng"", ""sphinx-copybutton"", ""sphinx-gallery"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-bibtex"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""stack-data"", ""sympy"", ""tinycss2"", ""tomli"", ""toqito"", ""tornado"", ""traitlets"", ""typing-extensions"", ""urllib3"", ""virtualenv"", ""wcwidth"", ""webencodings"", ""widgetsnbextension""]"
,,
A bioinformatics API to interface with public multi-omics bio databases for wicked fast data integration.,Python,"[""Sphinx"", ""astropy"", ""biopython"", ""bioservices"", ""bokeh"", ""bumpversion"", ""coverage"", ""dash"", ""dash-bootstrap-components"", ""dash-daq"", ""dask[distributed]"", ""filetype"", ""flake8"", ""flask"", ""furo"", ""goatools"", ""graphviz"", ""gtfparse"", ""gunicorn"", ""h5py"", ""itsdangerous"", ""logzero"", ""lxml"", ""matplotlib"", ""myst-parser"", ""networkx"", ""numpy"", ""obonet"", ""pandas"", ""pip"", ""pyfaidx"", ""pytest"", ""pytest-cov"", ""pytest-runner"", ""rarfile"", ""ruamel.yaml"", ""scipy"", ""setuptools"", ""six"", ""sphinx-autobuild"", ""sphinx-automodapi"", ""sphinx-copybutton"", ""sphinx-inline-tabs"", ""sphinx_autodoc_typehints"", ""sqlalchemy"", ""tornado"", ""tox"", ""tqdm"", ""twine"", ""validators"", ""watchdog"", ""wheel""]"
An R package for searching & retrieving data from the B.C. Data Catalogue,R,"[""DBI"", ""cli"", ""covr"", ""crul"", ""dbplyr"", ""dplyr"", ""ggplot2"", ""glue"", ""jsonlite"", ""knitr"", ""leaflet"", ""leaflet.extras"", ""methods"", ""purrr"", ""readr"", ""readxl"", ""rlang"", ""rmarkdown"", ""sf"", ""stats"", ""testthat"", ""tibble"", ""tidyselect"", ""utils"", ""withr"", ""xml2""]"
"Financial portfolio optimisation in python, including classical efficient frontier, Black-Litterman, Hierarchical Risk Parity",Jupyter Notebook,[]
Register exponential family curves,R,[]
Everything you've never dreamed about measuring on ecological networks.,Julia,[]
"Interpretable ML package 🔍 for concise, transparent, and accurate predictive modeling (sklearn-compatible).",Jupyter Notebook,[]
starfish: unified pipelines for image-based transcriptomics,Python,
Fiber Architecture Simulation Toolbox for 3D Polarized Light Imaging,Python,
"Base repository for DataSailr R package, which enables row by row data manipulation. To build and/or develop DataSailr R package, use datasailr_toolchain repository.",C++,
Bayesian X-ray analysis (nested sampling for Xspec and Sherpa),Python,
Read IRMS (Isotope Ratio Mass Spectrometry) data files into R,R,
Beta Machine Learning Toolkit,Julia,
Trajectory simulations for point particles in the Ocean & Atmosphere,Julia,
splithalf,R,
An easy-to-use library to extract indices from texts.,Python,
":muscle: Models' quality and performance metrics (R2, ICC, LOO, AIC, BF, ...)",R,
Geophysical fluid dynamics pseudospectral solvers with Julia and FourierFlows.jl.,Julia,
Reproducible Bayesian data analysis pipelines with targets and cmdstanr,R,
,Jupyter Notebook,
:feet: QA/QC pipeline for a MiSeq/HiSeq/Ion Torrent/assembly-only run,Perl,
Multidimensional data visualization tools,Python,"[""PyOpenGL"", ""PyQt5"", ""matplotlib"", ""numpy"", ""pyqtgraph"", ""pytest"", ""pytest-qt"", ""qtconsole"", ""sphinx"", ""sphinx_rtd_theme""]"
A Python package for spectral proper orthogonal decomposition (SPOD). ,Jupyter Notebook,[]
A Pandas-Centric ObsPy Expansion Pack,Python,"[""ipykernel"", ""jinja2"", ""nbsphinx"", ""numpy"", ""numpydoc"", ""obspy"", ""pandas"", ""progressbar2"", ""pydantic"", ""scipy"", ""sphinx"", ""sphinx-automodapi"", ""sphinx_autodoc_typehints"", ""tables"", ""typer"", ""typing-extensions""]"
Efficiently calculate 3D-features for quantitative structure-activity relationship approaches.,Python,"[""atomicwrites"", ""attrs"", ""bandit"", ""black"", ""certifi"", ""charset-normalizer"", ""click"", ""codecov"", ""colorama"", ""coverage"", ""dparse"", ""flake8"", ""flake8-bandit"", ""flake8-black"", ""flake8-bugbear"", ""flake8-import-order"", ""flake8-polyfill"", ""gitdb"", ""gitpython"", ""homepage"", ""idna"", ""kallisto"", ""keywords"", ""license"", ""markdown-it-py"", ""mccabe"", ""mdurl"", ""more-itertools"", ""mypy-extensions"", ""numpy"", ""packaging"", ""pathspec"", ""pbr"", ""platformdirs"", ""pluggy"", ""py"", ""pycodestyle"", ""pyflakes"", ""pygments"", ""pytest"", ""pytest-cov"", ""python"", ""pytype"", ""pyyaml"", ""readme"", ""repository"", ""requests"", ""rich"", ""safety"", ""scipy"", ""setuptools"", ""smmap"", ""stevedore"", ""toml"", ""tomli"", ""typed-ast"", ""urllib3"", ""wcwidth""]"
Event generator for supernova burst neutrinos,Python,"[""h5py"", ""numpy"", ""scipy"", ""snewpy"", ""uproot""]"
A C++ library for the efficient evaluation of integrals over effective core potentials.,C++,"[""Faddeeva"", ""cerf"", ""doc"", ""doxygen"", ""external"", ""genecpint"", ""lib"", ""sphinx"", ""src"", ""tests"", ""units""]"
Directory of Web of Things (WoT) Thing Descriptions. Maintained fork at https://github.com/TinyIoT/thing-directory,Go,[]
Precision Based Sample Size Calculation,R,"[""Hmisc"", ""binom"", ""dplyr"", ""ggplot2"", ""gt"", ""kappaSize"", ""knitr"", ""magrittr"", ""markdown"", ""rmarkdown"", ""shiny"", ""shinydashboard"", ""shinytest"", ""testthat"", ""tidyr""]"
Python 3 post-processing tools for simulations performed with the Einstein Toolkit,AGS Script,[]
,EJS,[]
LibSWIFFT - A fast C/C++ library for the SWIFFT secure homomorphic hash function,C++,"[""Catch2"", ""src"", ""swifft_static"", ""test""]"
R Package - Spatiotemporal Data Interpolation and Visualisation based on 3D Tessellation,R,"[""Rcpp"", ""checkmate"", ""data.table"", ""knitr"", ""pbapply"", ""rmarkdown"", ""sf"", ""testthat""]"
Adaptive stress testing of black-box systems within POMDPs.jl,Julia,[]
A QGIS  plugin to generate  polarimetric SAR descriptors.,Python,"[""sphinx_rtd_theme"", ""sphinxcontrib.bibtex""]"
A Robust backfitting algorithm,R,"[""MASS"", ""RobStatTM"", ""gam"", ""graphics"", ""knitr"", ""rmarkdown"", ""stats""]"
"🔔 Fit, predict, and plot 2D Gaussians in R",HTML,[]
,,
a python package for gravitational wave analysis with the F-statistic,Python,[]
A nlogistic-sigmoid playground for modelling the COVID-19 pandemic growth,MATLAB,[]
,,
Statistical data visualization in Python,Python,"[""flake8"", ""flit"", ""ipykernel"", ""matplotlib"", ""mypy"", ""nbconvert"", ""numpy"", ""numpydoc"", ""pandas"", ""pandas-stubs"", ""pre-commit"", ""pydata_sphinx_theme"", ""pytest"", ""pytest-cov"", ""pytest-xdist"", ""pyyaml"", ""scipy"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-design"", ""sphinx-issues"", ""statsmodels""]"
Simulation of instrumental systematic effects in the context of CMB observations,Python,"[""astropy"", ""coverage"", ""coveralls"", ""ephem"", ""healpy"", ""matplotlib"", ""mpi4py"", ""numpy"", ""scipy""]"
"Fast prototyping of infectious-disease models based on reaction equations. Analyze the ODEs analytically or numerically, or run stochastic simulations on networks/well-mixed systems.",Python,"[""ipython"", ""ipywidgets"", ""matplotlib"", ""numpy"", ""pip"", ""pyglet"", ""scipy"", ""sphinxcontrib-websupport"", ""sympy""]"
R package to obtain and analyze live data from the nCOVID19 coronavirus,R,"[""DT"", ""ape"", ""collapsibleTree"", ""deSolve"", ""devtools"", ""dplyr"", ""gplots"", ""htmlwidgets"", ""knitr"", ""markdown"", ""pheatmap"", ""plotly"", ""readxl"", ""rentrez"", ""rmarkdown"", ""roxygen2"", ""shiny"", ""shinycssloaders"", ""shinydashboard"", ""testthat""]"
Fit and compare complex models reliably and rapidly. Advanced nested sampling.,Python,[]
"Makes Julia reason with equations. General purpose metaprogramming, symbolic computation and algebraic equational reasoning library for the Julia programming language: E-Graphs & equality saturation, term rewriting and more.",Julia,[]
Stability measures,R,"[""Matrix"", ""checkmate"", ""cowplot"", ""ggdendro"", ""ggplot2"", ""igraph"", ""knitr"", ""methods"", ""mlbench"", ""rmarkdown"", ""rpart"", ""stats"", ""testthat"", ""utils""]"
Package to link R language to OpenBLAS library,R,"[""cli"", ""fs"", ""getPass"", ""git2r"", ""glue"", ""magrittr"", ""pingr"", ""rlang"", ""rvest"", ""stats"", ""stringr"", ""utils"", ""withr""]"
Open Source Optimization of Dynamic Multidisciplinary Systems,Python,"[""aiounittest"", ""bokeh"", ""ipython"", ""jax"", ""jaxlib"", ""jupyter"", ""jupyter-book"", ""matplotlib"", ""nbconvert"", ""notebook"", ""numba"", ""numpy"", ""numpydoc"", ""openmdao"", ""packaging"", ""playwright"", ""pre-commit"", ""pycodestyle"", ""redbaron"", ""scipy"", ""tabulate"", ""testflo""]"
,,
An R package for calculating and analyzing food demand and in accordance with the Edmonds et al food demand model,R,"[""cluster"", ""dplyr"", ""ggplot2"", ""knitr"", ""nleqslv"", ""pkgdown"", ""reshape2"", ""rmarkdown"", ""shiny"", ""testthat"", ""tidyr""]"
Contains FreeFem source codes for modelling wave induced ice-shelf vibrations,MATLAB,[]
,,
A fast Python based just-in-time compiling boundary element library,Python,"[""matplotlib"", ""meshio"", ""numba"", ""numpy"", ""pydocstyle"", ""pytest"", ""pytest-xdist"", ""ruff"", ""scipy"", ""sphinx-autoapi""]"
,,
"Fermi surface generation, analysis and visualisation.",Python,"[""BoltzTraP2"", ""PyMCubes"", ""click"", ""crystal-toolkit"", ""docutils"", ""furo"", ""ipython"", ""kaleido"", ""matplotlib"", ""mayavi"", ""meshcut"", ""mlabtex"", ""monty"", ""myst_parser"", ""nbsphinx"", ""nbsphinx-link"", ""networkx"", ""numpy"", ""open3d"", ""plotly"", ""pre-commit"", ""psutil"", ""pyfftw"", ""pymatgen"", ""pytest"", ""scikit-image"", ""scipy"", ""spglib"", ""sphinx"", ""sphinx-autodoc-typehints"", ""sphinx-click"", ""tabulate"", ""trimesh"", ""vtk""]"
Download datasets from Polish Head Office of Geodesy and Cartography,R,"[""curl"", ""jsonlite"", ""knitr"", ""rmarkdown"", ""sf"", ""stars"", ""terra"", ""testthat"", ""tibble""]"
Electrochemical data analysis package,Python,"[""fuelcell"", ""matplotlib"", ""numpy"", ""pandas""]"
Minimalist And Customisable Optimisation python Package,Python,"[""numpy"", ""sphinx""]"
"R package to easily generate ""V-plots"" of paired-end sequencing data over regions of interest",R,"[""GenomeInfoDb"", ""GenomicAlignments"", ""GenomicFeatures"", ""GenomicRanges"", ""IRanges"", ""RColorBrewer"", ""Rsamtools"", ""S4Vectors"", ""TxDb.Scerevisiae.UCSC.sacCer3.sgdGene"", ""covr"", ""cowplot"", ""ggplot2"", ""graphics"", ""knitr"", ""magrittr"", ""methods"", ""parallel"", ""pkgdown"", ""reshape2"", ""rmarkdown"", ""stats"", ""testthat"", ""zoo""]"
A code for simulating gravitational waves and evaluating their detectability.,Python,[]
Extracting and quantifying graphical representations of river and delta channel networks from binary masks,Python,"[""fastdtw"", ""geopandas"", ""loguru"", ""matplotlib"", ""networkx"", ""numpy"", ""opencv-python"", ""pytest"", ""scikit-image"", ""scipy"", ""shapely""]"
R package for visualizing uncertainty in spatial data,R,"[""FRK"", ""PBSmapping"", ""animation"", ""dplyr"", ""ggmap"", ""ggplot2"", ""grDevices"", ""knitr"", ""maps"", ""markdown"", ""patchwork"", ""plyr"", ""reshape2"", ""rmarkdown"", ""sf"", ""sp"", ""spbabel"", ""testthat""]"
Recombines real genomic segments to simulate whole genomes,Python,"[""bed-reader"", ""matplotlib"", ""numpy"", ""pandas"", ""scikit-learn"", ""scipy""]"
polypy - Analysis Tools for Solid State Molecular Dynamics and Monte Carlo Trajectories,Python,"[""coverage"", ""coveralls"", ""jupyter"", ""jupyter-sphinx"", ""matplotlib"", ""nbsphinx"", ""numpy"", ""pandas"", ""scipy"", ""seaborn"", ""sphinx_rtd_theme""]"
Off-resonance Correction OPen soUrce Software,Python,"[""matplotlib"", ""nibabel"", ""numpy"", ""opencv-python"", ""pydicom"", ""pynufft"", ""scikit-image"", ""scipy""]"
A Python package for delineating nested surface depressions from digital elevation data.,Python,"[""Click"", ""gdown"", ""geopandas"", ""matplotlib"", ""numpy"", ""pandas"", ""pyshp"", ""scikit-image"", ""scipy"", ""whitebox""]"
A Nextflow Genome-Wide Association Study (GWAS) Pipeline,R,[]
,,
:earth_americas: Verification of weather and climate forecasts :earth_africa:,Python,
📦🐍 Python package to model and forecast the risk of deforestation,Python,"[""earthengine-api"", ""gdal"", ""geefcc"", ""matplotlib"", ""numpy"", ""pandas"", ""patsy"", ""pywdpa"", ""scikit-learn""]"
Analyse time series of sources with variability in their brightness,Python,"[""astropy"", ""astroquery"", ""barycorrpy"", ""beautifulsoup4"", ""certifi"", ""click"", ""colorlog"", ""matplotlib"", ""numpy"", ""prettytable"", ""pytest"", ""scipy""]"
"This library provides a framework for assessing wind plant performance using operational assessment (OA) methodologies that consume time series data from wind plants. The goal of the project is to provide an open source implementation of common data structures, analysis methods, and utility functions relevant to wind plant OA.",Jupyter Notebook,[]
groupyr: Sparse Group Lasso in Python,Python,[]
Learning Simulator: A simulation software for animal and human learning,Python,"[""Pillow"", ""matplotlib"", ""numpy"", ""pytest"", ""python-dotenv""]"
OpenDrop pendant drop tensiometry software,Python,"[""Cython"", ""PyGObject"", ""contourpy"", ""cycler"", ""fonttools"", ""genicam"", ""importlib_resources"", ""injector"", ""kiwisolver"", ""matplotlib"", ""numpy"", ""opencv-python"", ""packaging"", ""pillow"", ""pycairo"", ""pyparsing"", ""python-dateutil"", ""scipy"", ""six"", ""typing_extensions""]"
A high-order finite-difference code for compressible hydrodynamic flows with magnetic fields and particles,Fortran,[]
R Package for Prospective and Retrospective Design Analysis,R,"[""DBI"", ""MASS"", ""R6"", ""RColorBrewer"", ""Rcpp"", ""RcppArmadillo"", ""S7"", ""askpass"", ""backports"", ""base64enc"", ""bit"", ""bit64"", ""blob"", ""brio"", ""broom"", ""bslib"", ""cachem"", ""callr"", ""cellranger"", ""cli"", ""clipr"", ""conflicted"", ""covr"", ""cpp11"", ""crayon"", ""curl"", ""data.table"", ""dbplyr"", ""desc"", ""devtools"", ""diffobj"", ""digest"", ""dplyr"", ""dtplyr"", ""evaluate"", ""farver"", ""fastmap"", ""fontawesome"", ""forcats"", ""fs"", ""gargle"", ""generics"", ""ggplot2"", ""glue"", ""googledrive"", ""googlesheets4"", ""gtable"", ""haven"", ""highr"", ""hms"", ""htmltools"", ""httr"", ""ids"", ""isoband"", ""jquerylib"", ""jsonlite"", ""knitr"", ""labeling"", ""lifecycle"", ""lubridate"", ""magrittr"", ""memoise"", ""mime"", ""modelr"", ""openssl"", ""pbapply"", ""pillar"", ""pkgbuild"", ""pkgconfig"", ""pkgload"", ""praise"", ""prettyunits"", ""processx"", ""progress"", ""ps"", ""purrr"", ""ragg"", ""rappdirs"", ""readr"", ""readxl"", ""rematch"", ""rematch2"", ""renv"", ""reprex"", ""rlang"", ""rmarkdown"", ""roxygen2"", ""rprojroot"", ""rstudioapi"", ""rvest"", ""sass"", ""scales"", ""selectr"", ""stringi"", ""stringr"", ""sys"", ""systemfonts"", ""testthat"", ""textshaping"", ""tibble"", ""tidyr"", ""tidyselect"", ""tidyverse"", ""timechange"", ""tinytex"", ""tzdb"", ""utf8"", ""uuid"", ""vctrs"", ""viridisLite"", ""vroom"", ""waldo"", ""withr"", ""xfun"", ""xml2"", ""yaml""]"
"Easy to use C3D reader/writer for C++, Python and Matlab",C++,"[""Doxygen"", ""Git"", ""binding"", ""doc"", ""examples"", ""gtest\""\n    EXCLUDE_FROM_ALL"", ""gtest_main"", ""matlab"", ""python3"", ""test""]"
"(ML) model for computing conflict risk from climate, environmental, and societal drivers.",Jupyter Notebook,[]
PySensors is a Python package for sparse sensor placement,Python,"[""codecov"", ""flake8-builtins-unleashed"", ""jupyter"", ""matplotlib"", ""nbsphinx"", ""netCDF4"", ""notebook"", ""numpy"", ""pandas"", ""pre-commit"", ""pytest"", ""pytest-cov"", ""pytest-lazy-fixture"", ""scikit-learn"", ""scipy"", ""seaborn"", ""setuptools_scm"", ""setuptools_scm_git_archive"", ""sphinx"", ""sphinx_rtd_theme"", ""sphinxcontrib-apidoc""]"
A Python-based Analysis Tool for Molecular fMRI Experiments.,Python,"[""\""matplotlib\"","", ""\""nibabel\"","", ""\""nilearn\"","", ""\""numpy\"","", ""\""openpyxl\"","", ""\""pandas\"","", ""\""pathlib\"","", ""\""scipy\"","", ""\""seaborn\"",""]"
PyAutoLens: Open Source Strong Gravitational Lensing,Python,"[""autogalaxy"", ""black"", ""furo"", ""getdist"", ""myst-parser"", ""nautilus-sampler"", ""numba"", ""pynufft"", ""pytest"", ""sphinx"", ""sphinx_autodoc_typehints"", ""sphinx_copybutton"", ""sphinx_design"", ""sphinx_inline_tabs"", ""ultranest"", ""zeus-mcmc""]"
The first version of our pulsar signal simulator. ,Python,"[""Sphinx"", ""astropy"", ""fitsio"", ""h5py"", ""matplotlib"", ""numpy"", ""numpydoc"", ""pdat"", ""pint-pulsar"", ""pip"", ""scipy"", ""twine""]"
Repository on the collaborative IVADO medical imaging project between the Mila and NeuroPoly labs.,Python,"[""csv-diff"", ""imageio"", ""joblib"", ""loguru"", ""matplotlib"", ""nibabel"", ""onnx"", ""onnxruntime"", ""pandas"", ""pybids"", ""scikit-image"", ""scikit-learn"", ""scipy"", ""seaborn"", ""tensorboard"", ""torch"", ""torchio"", ""torchvision"", ""tqdm"", ""wandb""]"
Sample and Measurement Metadata Database,Python,"[""APScheduler"", ""Brotli"", ""CherryPy"", ""Flask"", ""Flask-HTTPAuth"", ""Flask-Login"", ""Flask-Mail"", ""Flask-MonitoringDashboard"", ""Flask-SQLAlchemy"", ""Flask-WTF"", ""Jinja2"", ""Markdown"", ""MarkupSafe"", ""Pint"", ""Pygments"", ""SQLAlchemy"", ""WTForms"", ""Werkzeug"", ""annotated-types"", ""autocommand"", ""babel"", ""bcrypt"", ""beautifulsoup4"", ""bleach"", ""blinker"", ""certifi"", ""cffi"", ""charset-normalizer"", ""cheroot"", ""choreographer"", ""click"", ""colorhash"", ""configparser"", ""cryptography"", ""cryptojwt"", ""cssselect2"", ""defusedxml"", ""dnspython"", ""elementpath"", ""email-validator"", ""fido2"", ""flask-babel"", ""flask-cors"", ""flask-orjson"", ""flexcache"", ""flexparser"", ""fonttools"", ""furl"", ""greenlet"", ""idna"", ""iniconfig"", ""itsdangerous"", ""jaraco.collections"", ""jaraco.context"", ""jaraco.functools"", ""jaraco.text"", ""kaleido"", ""ldap3"", ""logistro"", ""more-itertools"", ""narwhals"", ""numpy"", ""orderedmultidict"", ""orjson"", ""packaging"", ""pillow"", ""platformdirs"", ""plotly"", ""pluggy"", ""portend"", ""psutil"", ""psycopg2-binary"", ""py-minisign"", ""pyOpenSSL"", ""pyasn1"", ""pycparser"", ""pydantic"", ""pydantic_core"", ""pydyf"", ""pyotp"", ""pyphen"", ""pysaml2"", ""pytest"", ""pytest-timeout"", ""python-dateutil"", ""pytz"", ""qrcode"", ""requests"", ""scipy"", ""setuptools"", ""simple_openid_connect"", ""simplejson"", ""six"", ""soupsieve"", ""tempora"", ""tinycss2"", ""tinyhtml5"", ""typing-inspection"", ""typing_extensions"", ""tzlocal"", ""urllib3"", ""weasyprint"", ""webencodings"", ""xmlschema"", ""zc.lockfile"", ""zopfli""]"
,Java,[]
Gym Electric Motor (GEM): An OpenAI Gym Environment for Electric Motors,Python,"[""gymnasium"", ""matplotlib"", ""numpy"", ""pathspec"", ""pytest"", ""pytest-cov"", ""scipy""]"
PyAutoFit: Classy Probabilistic Programming,Python,"[""SQLAlchemy"", ""anesthetic"", ""array_api_compat"", ""astropy"", ""astunparse"", ""autoconf"", ""black"", ""corner"", ""decorator"", ""dill"", ""dynesty"", ""emcee"", ""furo"", ""getdist"", ""gprof2dot"", ""h5py"", ""jax"", ""jaxlib"", ""matplotlib"", ""myst-parser"", ""nautilus-sampler"", ""networkx"", ""numpydoc"", ""psutil"", ""pyprojroot"", ""pyswarms"", ""pytest"", ""pyvis"", ""scipy"", ""sphinx"", ""sphinx_autodoc_typehints"", ""sphinx_copybutton"", ""sphinx_design"", ""sphinx_inline_tabs"", ""threadpoolctl"", ""timeout-decorator"", ""typing-inspect"", ""ultranest"", ""xxhash"", ""zeus-mcmc""]"
pure-Python HistFactory implementation with tensors and autodiff,Python,"[""click"", ""click_completion"", ""iminuit"", ""importlib_resources"", ""jax"", ""jaxlib"", ""jsonpatch"", ""jsonschema"", ""matplotlib"", ""numpy"", ""pyyaml"", ""requests"", ""scipy"", ""tqdm"", ""uproot""]"
A pipeline for versatile strong lens sample simulations,HTML,[]
Data Mining for Automated Functional Representations,Python,"[""apyori"", ""pandas"", ""pytest"", ""pytest-cov"", ""recommonmark"", ""sphinx-autoapi""]"
,,
Functions to compute omnidirectional landscape connectivity using circuit theory and the Omniscape algorithm.,Julia,[]
Python package for Multi-Objective Bayesian Optimisation and Joint Inversion,Python,"[""PyYAML"", ""matplotlib"", ""numpy"", ""pandas"", ""pyvista"", ""rasterio"", ""scikit_image"", ""scipy"", ""skimage""]"
Scientific software for analysis of confluent cell dynamics.,Python,"[""OpenPIV"", ""Sphinx"", ""cython"", ""docutils"", ""matplotlib"", ""numpy"", ""opencv-python"", ""pandas"", ""seaborn"", ""tifffile""]"
Simple layers for species distribution modeling and bioclimatic data,Julia,[]
The open-source tool for creating 3D models,C++,"[""3dfier"", ""Boost"", ""CGAL"", ""GDAL"", ""LASlib"", ""boost-chrono"", ""boost-filesystem"", ""boost-geometry"", ""boost-locale"", ""boost-program-options"", ""boost-system"", ""cgal"", ""gdal"", ""lastools"", ""libpq"", ""yaml-cpp""]"
Shiny interface to ssdtools R package,HTML,[]
,,
Analyze parental contributions to evolved or engineered protein or DNA sequences,HTML,[]
Kernel Density Estimation and (re)sampling,Python,"[""flake8"", ""gitpython"", ""ipykernel"", ""jupyter"", ""matplotlib"", ""nbconvert"", ""nbsphinx"", ""numba"", ""numpy"", ""numpydoc"", ""pytest"", ""pytest-cov"", ""scipy"", ""six"", ""sphinx_rtd_theme"", ""tox""]"
Nagoya Atomistic-simulation Package (NAP). Why don't you take a NAP? ;),Fortran,[]
Biomechanical add-ons to the RigidBody Dynamics Library,C++,"[""Actuators"", ""Doxygen"", ""Git"", ""IPOPT"", ""InternalForces"", ""Ligaments"", ""Muscles"", ""PassiveTorques"", ""RBDL"", ""RigidBody"", ""SWIG"", ""Utils"", ""binding"", ""c"", ""doc"", ""examples"", ""gtest\""\n    EXCLUDE_FROM_ALL"", ""matlab"", ""python3"", ""test"", ""tinyxml2""]"
2D/3D serial and parallel triangular mesh generation tool for finite element methods.,Python,"[""matplotlib"", ""meshio"", ""meshplex"", ""numpy"", ""pybind11"", ""pygalmesh"", ""pygmsh"", ""scikit-fmm"", ""scipy"", ""segyio"", ""termplotlib""]"
,,
c-lasso: a Python package for constrained sparse regression and classification,HTML,[]
A hybrid parallel C++ code to compute structure function of different order,C++,"[""h5si"", ""hdf5"", ""ibs"", ""yaml-cpp""]"
